runed halo,ultimate,nm,5,1
luminarch ascension,masters,nm,1,3
shalai voice of plenty,dominaria,nm,1,2
serra ascendant,iconic,nm,1,1
ethersworn canonist,shards,nm,1,1
selfless spirit,moon,nm,1,1
austere command,iconic,nm,1,2
soulfire grand master,fate,nm,1,1
heliod god of the sun,theros,nm,1,1
linvala the preserver,oath,nm,1,1
descend upon the sinful,shadows,nm,1,2
ojutai exemplars,dragons,nm,1,1
akroma angel of wrath,masters,nm,1,2
history of benalia,dominaria,nm,1,1
starfield of nyx,origins,nm,1,1
overwhelming splendor,hour,nm,1,1
restoration angel,iconic,nm f,1,1
restoration angel,iconic,nm,1,3
polluted delta,khans,nm,1,2
watery grave,gatecrash,nm,1,1
darkslick shores,mirrodin,nm,1,1
drowned catacomb,2012,nm,1,3
lazav dimir mastermind,gatecrash,nm,1,1
sire of stagnation,zendikar,nm,1,2
lazav the multifarious,guilds,nm,1,1
spirebluff canal,kaladesh,nm,1,2
thousand-year storm,guilds,nm,1,2
breeding pool,allegiance,nm,1,1
botanical sanctum,kaladesh,nm,1,1
flooded grove,masters,nm,1,2
sea of clouds,battlebond,nm,4,1
medomai the ageless,theros,nm,1,1
isperia supreme judge,return,nm,1,1
ephara god of the polis,born,nm,1,1
blood crypt,return,nm,1,2
graven cairns,iconic,nm,1,2
dragonskull summit,ixalan,nm,1,1
rakdos lord of riots,return,nm,1,1
malfegor,conflux,nm,1,1
rakdos's return,return,nm f,1,1
fulminator mage,ultimate,nm,10,1
kolaghan's command,dragons,nm,1,1
blooming marsh,kaladesh,nm,1,1
woodland cemetery,dominaria,nm,1,2
maelstrom pulse,ultimate,nm,1,1
isolated chapel,dominaria,nm,1,1
vona butcher of magan,ixalan,nm,1,1
stomping ground,gatecrash,nm,1,1
savageborn hydra,maze,nm,1,1 
sacred foundry,gatecrash,nm,1,1
rugged prairie,masters,nm,1,1
clifftop retreat,dominaria,nm,1,4
sunpetal grove,2013,nm,4,1
bountiful promenade,battlebond,nm,4,1
gaddock teeg,ultimate,nm,10,1
sedris the traitor king,shards,nm,1,1
thraximundar,reborn,nm,1,1
muldrotha the gravetide,dominaria,nm,1,2
surrak dragonclaw,khans,nm,1,1
empyrial archangel,shards,nm,1,1
prossh skyraider of kher,masters,nm,1,1
godsire,shards,nm,1,1
chromanticore,born,nm,1,1
conflux,conflux,nm,1,1
snapcaster mage,toppers,nm,115,2
lord of extinction,toppers,nm,26,1
fulminator mage,toppers,nm,48.5,1
platinum emperion,toppers,nm,32,1
vengevine,toppers,nm,41,1
maelstrom pulse,toppers,nm,40,1
creeping tar pit,toppers,nm,38,1
through the breach,ultimate,nm,10,1
blood moon,masters,nm,1,1
shaman of the great hunt,fate,nm,1,1
goldnight castigator,shadows,nm,1,1
avaricious dragon,origins,nm,1,1
urabrask the hidden,phyrexia,nm,1,1
hellkite tyrant,gatecrash,nm,1,1
indomitable creativity,aether,nm,1,1
verix bladewing,dominaria,nm,1,1
eidolon of the great revel,masters,nm,1,1
chain lightning,battlebond,nm,1,2
karn scion of urza,dominaria,nm,20,1
arcbound ravager,darksteel,lp,20,4
arcbound ravager,masters,nm,40,4
hangarback walker,origins,nm,10,4
walking ballista,revolt,nm,10,4
master of etherium,shards,nm f,3,1
master of etherium,shards,nm,3,2
etched champion,scars,nm,6,3
hardened scales,khans,nm,5,4
mox opal,scars,nm,25,4
glimmervoid,mirrodin,nm,15,3
pendelhaven,legends,nm,17,1
inkmoth nexus,mirrodin,lp,14,4
blinkmoth nexus,darksteel,nm,7,1
horizon canopy,masters,nm,55,2
noble hierarch,conflux,nm,20,4
sublime archangel,2013,nm,8,3
rafiq of the many,shards,nm,2,3
ponder,2010,nm,4,1
brimaz king of oreskos,born,nm,7.33,3
hallowed fountain,return,nm,10,2
grand arbiter augustin iv,diss,lp,4,2
geist of saint traft,innistrad,lp,10,3
meddling mage,alara,nm,4,4
wurmcoil engine,inventions,nm,100,1
engineered explosives,inventions,nm,112.50,1
steel overseer,inventions,nm,65,1
sword of war and peace,inventions,nm,68,1
lotus petal,inventions,nm,101,1
champion's helm,inventions,nm,33,1
mox opal,inventions,nm,225,1
extraplanar lens,inventions,nm,41.50,1
rings of brighthearth,inventions,nm,53,1
arcbound ravager,inventions,nm,117,1
platinum angel,inventions,nm,70.5,1
aether vial,inventions,nm,118,1
sword of fire and ice,inventions,nm,86,1
vedalken shackles,inventions,nm,35,1
cataclysmic gearhulk,inventions,nm,16,1
verdurous gearhulk,inventions,nm,24,1
sword of body and mind,inventions,nm,61,1
crucible of worlds,inventions,nm,98,1
mind's eye,inventions,nm,20,1
combustible gearhulk,inventions,nm,30,1
gauntlet of power,inventions,nm,42,1
mana crypt,inventions,nm,281,1
sculpting steel,inventions,nm,40,1
solemn simulacrum,inventions,nm,81,1
chalice of the void,inventions,nm,172,1
sphere of resistance,inventions,nm,50,1
staff of domination,inventions,nm,76,1
noxious gearhulk,inventions,nm,38,1
chromatic lantern,inventions,nm,64,1
chrome mox,inventions,nm,83,1
cloudstone curio,inventions,nm,43,1
hangarback walker,inventions,nm,69,1
duplicant,inventions,nm,35,1
trinisphere,inventions,nm,70,1
oblivion stone,inventions,nm,56,1
meekstone,inventions,nm,47,1
pithing needle,inventions,nm,60,1
static orb,inventions,nm,33,1
sundering titan,inventions,nm,24,1
force of will,eternal,nm,75,4
vedalken shackles,fifth,lp f,19,1
vedalken shackles,fifth,nm,11,1
sower of temptation,lorwyn,nm,15,3
propaganda,tempest,nm,8,3
kira great glass-spinner,masters,nm,15,1
kira great glass-spinner,kamigawa,nm,15,2
daze,nemesis,nm,4,1
jace beleren,2010,nm,7,3
back to basics,urza,lp,8,3
vendilion clique,morningtide,nm,20,3
engineered explosives,fifth,lp,10,2
ancestral vision,jace,nm,8,4
delver of secrets,innistrad,nm,2,4
snapcaster mage,innistrad,nm,57,4
serum visions,fifth,nm,4,4
remand,ravnica,nm,7,2
sulfur falls,innistrad,nm,5,2
sulfur falls,dominaria,nm f,8,1
sulfur falls,dominaria,nm,1,1
kalastria highborn,worldwake,nm,7,4
phyrexian arena,planechase,nm,3.2,4
bloodghast,iconic,nm,7,2
bloodghast,zendikar,nm,13.5,2
gifted aetherborn,aether,nm,2,4
gatekeeper of malakir,zendikar,nm,2,4
bloodline keeper,innistrad,nm,6.75,2
bloodline keeper,innistrad,nm f,12.5,1
vampire nocturnus,2010,nm f,14,1
vampire nocturnus,2010,nm,8.8,2
kalitas traitor of ghet,oath,nm,7,2
sword of fire and ice,darksteel,lp,25,2
polluted delta,khans,nm,8,3
flooded strand,khans,nm,8,3
hallowed fountain,return,nm,10,2
watery grave,gatecrash,nm,10,2
narset transcendent,dragons,nm,8,2
pride of the clouds,diss,nm,3,4
baleful strix,commander,nm,3,4
delver of secrets,innistrad,nm,4,2
lingering souls,dark,nm,3,4
path to exile,conflux,lp,4,4
nicol bolas planeswalker,conflux,nm,8,1
nicol bolas god-pharaoh,hour,nm,8,1
chandra nalaar,lorwyn,nm,1,1
nissa worldwaker,2015,nm,1,1
chandra fire of kaladesh,origins,nm,1,1
kytheon hero of akros,origins,nm,1,2
jaya ballard,dominaria,nm,1,2
phantasmal image,2012,nm f,1,1
cyclonic rift,return,nm,1,2
pact of negation,masters,nm,1,1
time warp,starter,nm,5,2
kefnet the mindful,amonkhet,nm,1,2
arcane artisan,battlebond,nm,4,1
naru meha master wizard,dominaria,nm,1,1
torrent elemental,fate,nm,1,2
disciple of the ring,origins,nm,1,1
frost titan,2012,nm,1,2
crush of tentacles,oath,nm,1,1
tolarian academy,saga,lp,50,2
tolarian academy,saga,mp,40,2
gilded drake,urza,nm,30,3
deathrite shaman,return,nm,4.4,8
Paradoxical Outcome,kaladesh,nm,.5,29
damping sphere,dominaria,nm,.5,8
citywide bust,guilds,nm,1,8
swiftblade vindicator,guilds,nm,1.5,4
island,unstable,nm,3.5,5
swamp,unstable,nm,3.5,5
mountain,unstable,nm,3.5,5
plains,unstable,nm,3.5,5
forest,unstable,nm,3.8,7
snapcaster mage,2017,nm f,95,2
ugin the spirit dragon,reforged,nm,20,1
voice of resurgence,maze,nm,11,4
kitchen finks,ultimate,nm,2.25,4
fatal push,aether,nm,2.9,8
teferi timebender,dominaria,nm,1,7
chandra bold pyromancer,dominaria,nm,1,3
sword of light and shadow,modern,nm,22.5,1
chandra torch of defiance,kaladesh,nm,10,3
hazoret the fervent,amonkhet,nm,3.5,4
alpine moon,2019,nm f,3.5,4
stifle,scourge,nm,6.5,4
supreme phantom,2019,nm,3,4
doubling season,battlebond,nm f,50,1
ulamog the infinite gyre,ultimate,nm,10,1
celestial colonnade,ultimate,nm,10,1
lavaclaw reaches,ultimate,nm,5,1
dark depths,ultimate,nm,10,1
emrakul the aeons torn,ultimate,nm,22,1
nicol bolas planeswalker,guilds,nm,38,1
tarmogoyf,ultimate,nm,30,1
noble hierarch,ultimate,nm,20,1
protean hulk,masters,nm,1,2
summoner's pact,masters,nm,1,1
bramble sovereign,battlebond,nm,4,1
verdurous gearhulk,kaladesh,nm,1,6
warden of the first tree,fate,nm,1,1
deathmist raptor,dragons,nm,1,1
tree of redemption,25,nm,1,1
ulvenwald hydra,shadows,nm,1,1
woodland bellower,origins,nm,1,1
aetherwind basker,aether,nm,1,1
multani yavimaya's avatar,dominaria,nm,1,1
primeval titan,iconic,nm,1,1
nullhide ferox,ravnica,nm,1,1
essence of the wild,innistrad,nm,1,1 
liliana of the veil,innistrad,nm,69,1
liliana of the veil,innistrad,lp,65,2
scavenging ooze,2014,nm,2.5,2
scavenging ooze,masters,nm,4,2
tarmogoyf,future,lp,67.5,4
grim flayer,eldritch,nm,11,4
bloodbraid elf,eternal,nm,1.6,2
bloodbraid elf,alara,nm,1,2
assassin's trophy,ravnica,nm,8,4
abrupt decay,return,nm,6,3
raging ravine,worldwake,nm,6,4
slippery bogle,eventide,nm,1,4
kor spiritdancer,eldrazi,nm,12,2
kor spiritdancer,battlebond,nm,1.75,8
rancor,eternal,nm,1.75,4
spirit mantle,2012,lp,1.75,4
daybreak coronet,masters,nm,11,3
bear umbra,commander,nm,3,2
temple garden,return,nm,8.25,4
sunpetal grove,ixalan,nm,2,2
sunpetal grove,2013,nm,2.8,3
street wraith,masters,nm,1,2
entomb,ultimate,nm,10,1
demonic tutor,ultimate,nm,10,1
erebos god of the dead,theros,nm,1,2
tree of perdition,moon,nm,1,1
risen executioner,dragons,nm,1,1
erebos's titan,origins,nm f,1,1
hythonia the cruel,theros,nm,1,2
demonlord belzenlok,dominaria,nm,1,1
soul of innistrad,2015,nm,1,1
nirkana revenant,battlebond,nm,1,1
archfiend of despair,battlebond,nm,1,1
stunning reversal,battlebond,nm,1,1
boneyard parley,ixalan,nm,1,1
necropotence,iconic,nm,1,1
cruel reality,amonkhet,nm,1,1
infernal reckoning,2019,nm,.25,4
hero's downfall,theros,nm,1,6
platinum emperion,mirrodin,nm f,2,1
platinum emperion,mirrodin,nm,2,3
grimoire of the dead,innistrad,nm,1,1
lich's mirror,shards,nm,1,1
mindslaver,mirrodin,nm,1,1
planar bridge,aether,nm,1,1
skysovereign consul flagship,kaladesh,nm,1,1
platinum angel,conspiracy,nm,1,1
spire of industry,aether,nm,1,4
